Date,Post ID,Network,Post Type,Content Type,Profile,Sent by,Link,Post,Linked Content,Impressions,Organic Impressions,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Comments,Shares,Click-Through Rate,Post Link Clicks,Other Post Clicks,Post Clicks (All),Post Media Clicks,Post Hashtag Clicks,Post Detail Expand Clicks,Profile Clicks,Other Engagements,App Engagements,App Install Attempts,App Opens,Follows from Post,Unfollows from Post,bit.ly Link Clicks,Video Views,Media Views,Tags
7/9/2023 4:00 pm,1678056439535771648,Twitter,Tweet,Photo,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1678056439535771648,"Update! Need to swap your FX to naira? We've got you covered! Download the Stanbic IBTC Mobile App now to get started.
#ITCANBE https://t.co/hbbpisxV9C",https://twitter.com/StanbicIBTC/status/1678056439535771648/photo/1,"1,244","1,244","349,238",4.9%,61,3,3,2.0,2,,,53,53,28,0.0,16,9.0,1,0.0,0.0,0.0,1.0,0.0,,,28,
7/9/2023 3:00 pm,1678041350074257408,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1678041350074257408,"With our team of professionals, you can trust us to navigate the dynamic market landscape on your behalf. 
Visit https://t.co/oMGjCG03ED to start your journey towards financial success today by investing in our Mutual Funds.

#ITCANBE https://t.co/FffkYdW6IQ","http://www.stanbicibtcassetmanagement.com, https://twitter.com/StanbicIBTC/status/1678041350074257408/photo/1",916,916,"345,772",2.4%,22,2,2,3.0,1,0.66%,6.0,10,16,8,0.0,2,0.0,0,0.0,0.0,0.0,0.0,0.0,,,8,"Asset Management, Weekly Wealth Posts"
7/9/2023 12:00 pm,1677996039578460160,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677996039578460160,"Don’t let fear of the managing your finances home and abroad stop you from travelling abroad. Do you have question(s) about your money and travelling abroad? Share with us here https://t.co/3LOVijaPUd

#ITCANBE https://t.co/E5dHxIynnv","https://bit.ly/StanbicIBTC_TwitterSpaces, https://twitter.com/StanbicIBTC/status/1677996039578460160/photo/1","1,292","1,292","345,782",3.25%,42,8,8,5.0,1,0.15%,2.0,26,28,15,0.0,4,7.0,0,0.0,0.0,0.0,0.0,0.0,,,15,
7/9/2023 9:00 am,1677950762192629760,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677950762192629760,"Choose happiness daily to create a more joyful and fulfilling life. Incorporate these tips and make happiness-oriented decisions to cultivate a blissful existence. 
#HappySunday!
#ITCANBE https://t.co/cnM5h4QAnV","https://twitter.com/StanbicIBTC/status/1677950762192629760/photo/1, https://twitter.com/StanbicIBTC/status/1677950762192629760/photo/1","1,120","1,120","345,803",2.59%,29,6,6,1.0,2,,,20,20,13,0.0,3,4.0,0,0.0,0.0,0.0,0.0,0.0,,,13,
7/8/2023 3:00 pm,1677679041577467905,Twitter,Tweet,Video,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677679041577467905,"Experience the captivating highlights from our FUZE talent hunt, where dreams become reality and talent meets destiny. Visit https://t.co/vMQmSn3Q0y to watch more thrilling performances and unforgettable moments. 
#IgniteYourFUZE
#ITCANBE https://t.co/5qyvPaTi3p","https://bit.ly/FUZERecap, https://twitter.com/StanbicIBTC/status/1677679041577467905/video/1","1,107","1,107","345,603",3.88%,43,8,8,6.0,0,0.36%,4.0,25,29,15,0.0,6,4.0,0,0.0,0.0,0.0,0.0,0.0,,106,106,"Fuze Festival, Weekly Wealth Posts"
7/8/2023 12:00 pm,1677633654044991489,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677633654044991489,"With our Home Loan, you can get the desired space that reflects your personal taste and style. Visit https://t.co/Dpi7LF0m1c  today to get started.
#ITCANBE https://t.co/NJo0Zye2H6","https://bit.ly/StanbicIBTCHomeLoans, https://twitter.com/StanbicIBTC/status/1677633654044991489/photo/1","1,043","1,043","345,756",2.11%,22,7,7,2.0,1,0.19%,2.0,10,12,5,0.0,1,4.0,0,0.0,0.0,0.0,0.0,0.0,,,5,CHNW Mass Retail
7/8/2023 9:30 am,1677595944617951233,Twitter,Tweet,Video,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1677595944617951233,"With an impressive track record and a wealth of knowledge, Juliet Ehimuan (@jehimuan) delivered an enlightening and captivating keynote address at LATTES 3.0. Visit https://t.co/KNVsOHaVRL if you missed it.
#LATTES
#ITCANBE https://t.co/qmcyIQaJAQ","https://www.youtube.com/watch?v=KDi0RVv9UUI, https://twitter.com/StanbicIBTC/status/1677595944617951233/video/1","2,341","2,341","409,204",27.51%,644,498,498,30.0,59,0.04%,1.0,56,57,29,0.0,15,12.0,0,0.0,0.0,0.0,0.0,0.0,,246,246,
7/8/2023 9:00 am,1677588363136598016,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677588363136598016,"Make secure payments with ease using NQR. Simply scan the QR code to initiate your payment.
#ITCANBE https://t.co/el08dKV8P0",https://twitter.com/StanbicIBTC/status/1677588363136598016/photo/1,"1,377","1,377","345,751",2.32%,32,14,14,4.0,1,,,13,13,8,0.0,2,3.0,0,0.0,0.0,0.0,0.0,2.0,,,8,BCC
7/7/2023 9:30 pm,1677414709463580674,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677414709463580674,"Whether you are spending quality time with loved ones or indulging in some much-needed self-care, this weekend will be a beautiful one. Amen?
#Weekend
#ITCANBE https://t.co/3A25kVP5ke",https://twitter.com/StanbicIBTC/status/1677414709463580674/photo/1,"1,288","1,288","346,320",2.48%,32,13,13,3.0,2,,,14,14,7,1.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,,,7,
7/7/2023 9:00 pm,1677407194675855361,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677407194675855361,Invest in the secure and reliable FGN Savings Bond and watch your wealth flourish. Send an email now to CallMe@stanbicibtc.com to start building a brighter financial future today. https://t.co/vIH5zT9G2T,https://twitter.com/StanbicIBTC/status/1677407194675855361/photo/1,"1,273","1,273","345,766",1.89%,24,9,9,2.0,1,0.08%,1.0,11,12,8,,0,3.0,0,0.0,0.0,0.0,0.0,0.0,,,8,CIB Posts
7/7/2023 8:44 pm,1677403194320736261,Twitter,Tweet,Photo,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1677403194320736261,"Greatest Uites and Bodija market,we are coming your way! 
Join us as we embark on a transformative journey towards accelerating business growth. 😉 
Interested in opening a business account? Visit here now - https://t.co/gH3qMoUcvJ
#ITCANBE https://t.co/vwyFudnuZQ","https://bit.ly/BusinessBankingAccounts, https://twitter.com/StanbicIBTC/status/1677403194320736261/photo/1, https://twitter.com/StanbicIBTC/status/1677403194320736261/photo/1","1,019","1,019","347,082",2.75%,28,7,7,1.0,2,0%,0.0,18,18,12,0.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,,,12,
7/7/2023 8:40 pm,1677402120666980352,Twitter,Tweet,Video,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1677402120666980352,"Where are the business gurus in Ibadan?
Join us at Gbagi and Agbeni Markets, where we'll embark on a transformative journey towards accelerating your business growth. 😉
Interested in opening a business account? Visit here now - https://t.co/gH3qMoUcvJ
#ITCANBE https://t.co/KFqbAnkJxg","https://bit.ly/BusinessBankingAccounts, https://twitter.com/StanbicIBTC/status/1677402120666980352/video/1",995,995,"345,766",1.81%,18,4,4,1.0,1,0.3%,3.0,9,12,3,0.0,3,3.0,0,0.0,0.0,0.0,0.0,0.0,,59,59,
7/7/2023 8:07 pm,1677393861260222474,Twitter,Tweet,Video,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677393861260222474,"Water is life. It is this understanding that propelled us to install three solar-powered boreholes, benefitting over 12,000 students at Charanchi Primary School, Goron Dutse Special Primary/Secondary School, and Kofir Naisa Special Primary School in Kano state, Nigeria.
#ITCANBE https://t.co/KdGlP7wusP",https://twitter.com/StanbicIBTC/status/1677393861260222474/video/1,967,967,"345,765",2.28%,22,8,8,1.0,1,,,12,12,9,0.0,2,1.0,0,0.0,0.0,0.0,0.0,0.0,,69,69,CSI Posts
7/7/2023 7:42 pm,1677387508709990401,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677387508709990401,"Experience the ease and simplicity of transferring funds this weekend.

#ITCANBE https://t.co/WHCerRdjsl",https://twitter.com/StanbicIBTC/status/1677387508709990401/photo/1,967,967,"345,766",1.55%,15,6,6,1.0,1,,,7,7,7,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,,7,CHNW Mass Retail
7/7/2023 3:59 pm,1677331481557979137,Twitter,Tweet,Video,'@StanbicIBTC,Damilare Oyekanmi,https://twitter.com/StanbicIBTC/status/1677331481557979137,"How do you pursue happiness? Your Stanbic IBTC Mutual Funds investments can bring you great financial gains. Listen to the latest episode of our enlightening series, 'Chemistry of Wealth' at https://t.co/4vCihs0phS to find out how.

#ITCANBE
#InvestForMore https://t.co/BolrU1Nxc6","https://bit.ly/ChemistryOfWealthPodcast, https://twitter.com/StanbicIBTC/status/1677331481557979137/video/1","1,206","1,206","360,360",46.85%,565,468,468,28.0,46,0.17%,2.0,21,23,7,0.0,13,1.0,0,0.0,0.0,0.0,0.0,0.0,,72,72,"Chemistry of Wealth, Weekly Wealth Posts"
7/7/2023 12:07 pm,1677273190987362304,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1677273190987362304,"Invest in their happiness and watch as their future blossom with every contribution you make. ​
Visit https://t.co/GBahfCdARH or send an email to SITLAgency@stanbicibtc.com today to get started.​

#ITCANBE https://t.co/6HdYH9jN1F","http://www.stanbicibtctrustees.com, https://twitter.com/StanbicIBTC/status/1677273190987362304/photo/1",922,922,"345,960",2.06%,19,5,5,1.0,2,0.33%,3.0,8,11,5,0.0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,,,5,"Trustees Posts, Weekly Wealth Posts"
7/6/2023 7:39 pm,1677024512821395458,Twitter,Tweet,Video,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1677024512821395458,"Here is your one-stop guide on how to navigate the app and reset your password whenever you need to.
Download the Stanbic IBTC Mobile App now to begin.
#Invest
#TrustedBroker
#ITCANBE https://t.co/r41yhexn63",https://twitter.com/StanbicIBTC/status/1677024512821395458/video/1,"1,249","1,249","345,750",3.12%,39,7,7,6.0,1,0.08%,1.0,24,25,21,1.0,1,1.0,0,0.0,0.0,0.0,0.0,0.0,,89,89,
7/6/2023 6:35 pm,1677008385382703104,Twitter,Tweet,Photo,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1677008385382703104,"Which song(s) evoke feelings of happiness and warm nostalgia for you when you think of Pallito?
#ITCANBE
#ThrowbackThursday https://t.co/rjOoUVdHLV",https://twitter.com/StanbicIBTC/status/1677008385382703104/photo/1,"4,604","4,604","346,855",2.48%,114,27,27,15.0,5,,,67,67,57,0.0,4,6.0,0,0.0,0.0,0.0,0.0,0.0,,,57,
7/6/2023 5:16 pm,1676988538187919360,Twitter,Tweet,Photo,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1676988538187919360,"Are you uncertain about the approach to take regarding your japa plans or how you can access your money while ‘in the abroad’? 
Make it a date with our experts on Twitter Spaces, and let's have a conversation about this.
Visit https://t.co/3LOVijaPUd to join.
#ITCANBE https://t.co/ee8Lf8AFrY","https://bit.ly/StanbicIBTC_TwitterSpaces, https://twitter.com/StanbicIBTC/status/1676988538187919360/photo/1","1,080","1,080","347,009",4.35%,47,5,5,5.0,2,1.39%,15.0,20,35,9,1.0,8,2.0,0,0.0,0.0,0.0,0.0,0.0,,,9,
7/6/2023 3:10 pm,1676956826812973059,Twitter,Tweet,Photo,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1676956826812973059,"Are you in Enugu or Port Harcourt? ​
Join us at the business masterclass, where business ideas are ignited and manifested.​
#ITCANBE https://t.co/DfwCyEJsZJ","https://twitter.com/StanbicIBTC/status/1676956826812973059/photo/1, https://twitter.com/StanbicIBTC/status/1676956826812973059/photo/1","1,613","1,613","347,056",2.79%,45,12,12,5.0,2,,,26,26,22,0.0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,,,22,
7/6/2023 2:30 pm,1676946665662554112,Twitter,Tweet,Photo,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1676946665662554112,"It was an unforgettable event filled with sights that left us in awe!
#LATTES
#ITCANBE https://t.co/OaVyjZ6uyz",https://twitter.com/StanbicIBTC/status/1676946665662554112/photo/1,"1,089","1,089","347,488",2.48%,27,6,6,1.0,3,,,17,17,10,1.0,5,1.0,0,0.0,0.0,0.0,0.0,0.0,,,10,
7/6/2023 12:20 pm,1676914065514414081,Twitter,Tweet,Video,'@StanbicIBTC,Blessing Ubah,https://twitter.com/StanbicIBTC/status/1676914065514414081,"Stanbic IBTC PMI slightly dipped to 53.2 in June signalling a solid monthly improvement in the health of the private sector.

Here are the highlights.
#StanbicIBTCPMI
#ITCANBE https://t.co/6ebLyEdYOt",https://twitter.com/StanbicIBTC/status/1676914065514414081/video/1,"1,023","1,023","345,741",1.86%,19,3,3,5.0,1,,,10,10,6,0.0,3,1.0,0,0.0,0.0,0.0,0.0,0.0,,81,81,"CIB Posts, PMI"
7/5/2023 9:50 pm,1676694963831046144,Twitter,Tweet,Video,'@StanbicIBTC, ,https://twitter.com/StanbicIBTC/status/1676694963831046144,"Your investment shouldn’t only be in Naira. It can be in Dollars too. Send an email to CallMe@stanbicibtc.com to get started. #WealthWednesday 
#ITCANBE https://t.co/vTsw5LbNPd",https://twitter.com/StanbicIBTC/status/1676694963831046144/video/1,"1,474","1,474","345,624",2.31%,34,4,4,7.0,0,,,23,23,10,0.0,9,4.0,0,0.0,0.0,0.0,0.0,1.0,,117,118,
7/5/2023 4:17 pm,1676611207120257024,Twitter,Tweet,Video,'@StanbicIBTC,Kemi Amoo,https://twitter.com/StanbicIBTC/status/1676611207120257024,"Your investment shouldn’t only be in Naira. It can be in Dollars too. Visit https://t.co/tRoK2vpzaZ to get started.
#WealthWednesday
#ITCANBE https://t.co/XNrFe49uPh","http://Stanbicibtcassetmanagement.com/Stanbic-IBTC-Dollar-Fund, https://twitter.com/StanbicIBTC/status/1676611207120257024/video/1",675,675,"347,089",2.67%,18,3,3,1.0,2,0.44%,3.0,9,12,5,0.0,0,4.0,0,0.0,0.0,0.0,0.0,0.0,,55,55,
7/5/2023 11:04 am,1676532507846799360,Twitter,Tweet,Link,'@StanbicIBTC, ,https://twitter.com/StanbicIBTC/status/1676532507846799360,Ladies At The Table Series (LATTES) 3.0 https://t.co/aC7xDyPgCk,https://twitter.com/i/broadcasts/1YqGoApkVvjxv,"1,606","1,606","347,133",4.23%,68,8,8,4.0,3,1.99%,32.0,20,52,,,19,1.0,1,0.0,0.0,0.0,1.0,0.0,,,,LATTES
7/5/2023 11:02 am,1676531875987456005,Twitter,Tweet,Link,'@StanbicIBTC, ,https://twitter.com/StanbicIBTC/status/1676531875987456005,Ladies At The Table Series (LATTES) 3.0 https://t.co/AfVdW0hewh,https://twitter.com/i/broadcasts/1MYGNgnAOkwJw,,,"346,917",,,,,,,,,,,,,,,,,,,,,,,,
7/4/2023 6:04 pm,1676275846439477251,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1676275846439477251,"Start your journey to wealth with FGN Bonds!
Hurry now and invest in the July offer.
To get started, email CallMe@stanbicibtc.com or visit https://t.co/LVgneO9MDe

#Invest
#ITCANBE https://t.co/VBe7UFChl2","https://www.stanbicibtcstockbrokers.com/nigeriastockbroking/stockbroking/about-us/news/2023-FGN-Savings-Bond-Offer, https://twitter.com/StanbicIBTC/status/1676275846439477251/photo/1","1,739","1,739","345,709",3.91%,68,7,7,10.0,1,0.75%,13.0,37,50,22,0.0,10,5.0,0,0.0,0.0,0.0,0.0,0.0,,,22,
7/4/2023 12:00 pm,1676184123310841857,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1676184123310841857,"#MoneyManagement Tip 4:
Have self-control. Don't spend money you don't have.
#ITCANBE https://t.co/FJEYAI25BF",https://twitter.com/StanbicIBTC/status/1676184123310841857/photo/1,"1,282","1,282","345,679",1.48%,19,7,7,4.0,1,,,7,7,3,1.0,2,1.0,0,0.0,0.0,0.0,0.0,0.0,,,3,
7/4/2023 11:39 am,1676178851062226944,Twitter,Tweet,Photo,'@StanbicIBTC, ,https://twitter.com/StanbicIBTC/status/1676178851062226944,"Tomorrow is D-DAY.​
Prepare to be immersed in a world of inspiration, knowledge, and limitless possibilities. It's your chance to meet our incredible speakers, receive vital insights, and ignite your personal and professional growth. ​
Click https://t.co/8OmzK4OUxb to download… https://t.co/1WVyiWWESv","https://qrco.de/bdpAgz, https://twitter.com/StanbicIBTC/status/1676178851062226944/photo/1","1,104","1,104","346,995",2.72%,30,3,3,3.0,2,1%,11.0,11,22,4,,6,1.0,0,0.0,0.0,0.0,0.0,0.0,,,4,LATTES
7/4/2023 9:57 am,1676153173721882624,Twitter,Tweet,Photo,'@StanbicIBTC, ,https://twitter.com/StanbicIBTC/status/1676153173721882624,"Driving growth beyond borders is what we do.
A selection of our clients were at the third biennial China-Africa Economic and Trade Expo (CAETE) through our parent group, Standard Bank, to exhibit their produce such as Soy Beans, Sorghum, Millet, Cashew nuts and Sesame Seeds. The… https://t.co/Cky2sz3Aac","https://twitter.com/StanbicIBTC/status/1676153173721882624/photo/1, https://twitter.com/StanbicIBTC/status/1676153173721882624/photo/1, https://twitter.com/StanbicIBTC/status/1676153173721882624/photo/1, https://twitter.com/StanbicIBTC/status/1676153173721882624/photo/1","1,224","1,224","347,006",3.19%,39,5,5,5.0,2,,,27,27,24,,2,1.0,0,0.0,0.0,0.0,0.0,0.0,,,24,
7/4/2023 9:00 am,1676138806444175361,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1676138806444175361,"Diversify your portfolio with Stanbic IBTC Money Market Fund. Visit https://t.co/IviMUaPRMD today to get started.​
#Invest​​
#MutualFunds​​
#ITCANBE https://t.co/UUMl0Uun2A","https://bit.ly/StanbicIBTCMoneyMarketFund, https://twitter.com/StanbicIBTC/status/1676138806444175361/photo/1","1,217","1,217","345,686",2.79%,34,6,6,5.0,1,0.82%,10.0,12,22,7,0.0,3,2.0,0,0.0,0.0,0.0,0.0,0.0,,,7,"Asset Management, Weekly Wealth Posts"
7/3/2023 7:58 pm,1675942207944114176,Twitter,Tweet,Photo,'@StanbicIBTC, ,https://twitter.com/StanbicIBTC/status/1675942207944114176,"Are you ready to take charge, embrace your real potential, and leave a lasting impression? Look no further! ​
Join us at the Ladies At The Table Empowerment Series (LATTES) 3.0. https://t.co/OrnDIvZRek","https://twitter.com/StanbicIBTC/status/1675942207944114176/photo/1, https://twitter.com/StanbicIBTC/status/1675942207944114176/photo/1, https://twitter.com/StanbicIBTC/status/1675942207944114176/photo/1","2,029","2,029","347,139",2.37%,48,12,12,7.0,3,,,26,26,18,,5,3.0,0,0.0,0.0,0.0,0.0,0.0,,,18,LATTES
7/3/2023 3:15 pm,1675870786249269250,Twitter,Tweet,Photo,'@StanbicIBTC,Sophia Amuka,https://twitter.com/StanbicIBTC/status/1675870786249269250,"#MoneyManagement Tip 3:
Save for your future today. Even a small amount can make a big difference.
#ITCANBE https://t.co/XfdG2XmfDr",https://twitter.com/StanbicIBTC/status/1675870786249269250/photo/1,"1,820","1,820","345,700",1.65%,30,4,4,10.0,3,,,13,13,8,1.0,2,2.0,0,0.0,0.0,0.0,0.0,0.0,,,8,
