Date,Content Type,Sent by,Post,Impressions,Reach,Organic Reach,Engagement Rate (per Impression),Engagement Rate (per Reach),Engagements,Reactions,Likes,Comments,Saves
2022-04-14 19:08:00,Photo,Sophia Amuka,"Looking for the next big opportunity? Do you have what it takes to join the Blue team in the North?
Visit  https://bit.ly/RegionalTalentHunt or Scan the QR Code to come on board!

#ITCANBE",18080.0,16018.0,16018.0,1.08,1.22,195.0,76.0,76.0,117.0,2.0
2021-05-29 15:02:00,Video,Other,Reposted from @realpeter30 @stanbicibtc #icanbe,16817.0,15869.0,15869.0,2.83,3.0,476.0,447.0,447.0,11.0,18.0
2021-05-29 06:17:00,Video,Other,"Reposted from @chinasaemeji Kindly like and follow @stanbicibtc  #ITCANBE @stanbicibtc

#ijzion #gainwithzion 
#explore #explorepage #gaintrick #mrgain #gainwithmchina #gainwithspikes  #universe #nigeria #madeinkenya #iamnairobian #gainwiththbundi #igerskenya #black #iamnairobian #10over10 #publicity254 #nairobikenya #followforfollow #gainwithxtiandela #memes #likeforlikes #followforfollowback #gainwithmtaaraw #followme #followforfollowers",16892.0,15798.0,15798.0,4.96,5.3,837.0,753.0,753.0,76.0,8.0
2021-04-03 14:33:00,Video,Other,"Are you there? 😁 Make sure you don’t miss the @stanbicibtc Youth Leadership series!! Click the link in my bio to register. It will be Fantabulous!! 
First 400 people to log in on Thursday get free data. There are also lots of freebies to be won. 
Let us be doing well together because IT CaN BE with StanbicIbtc 
.
.
W/ @jisola00

#YLS2021 
#ITCANBE",17833.0,15671.0,15671.0,4.17,4.75,744.0,684.0,684.0,36.0,24.0
2021-05-29 18:42:00,Video,Other,Reposted from @kaleed229 My Entry @stanbicibtc #icanbe,15781.0,15307.0,15307.0,2.32,2.39,366.0,305.0,305.0,55.0,6.0
2021-05-28 15:00:00,Photo,Kemi Amoo,"Your health is something you shouldn’t take chances with. We have the #BestInsuranceDeals to cover your health.
To begin, visit our link in the bio and click on ‘Let’s help you get the best insurance deals’

#ITCANBE",16035.0,14854.0,14854.0,1.79,1.93,287.0,275.0,275.0,2.0,10.0
2021-05-29 09:00:00,Photo,Kemi Amoo,"Saturday mornings were synonymous with our favourite TV shows while growing up. Which was your favourite 😃 📺 ?

#ITCANBE",15500.0,14435.0,14435.0,1.86,2.0,288.0,266.0,266.0,21.0,1.0
2023-02-13 08:22:00,Photo,Other,"#Repost @iamofficialfreda 
• • • • • •
My woman, My Everything
So understanding and kindhearted 
You gave me reason to love again 
Our 10 years journey in marriage has been blessed with your unadulterated love.
I reminisce how you join me to save towards my professional exam despite it was very expensive, You encourage that together we can achieve the savings through our bank Stanbic IBTC and we where able to pay for the exam and am glad I passed the exam with your encouragement.
You gave Peace of mind with your loving affection. 
I appreciate your words of determination/encouragement towards me 
When loosing up in faith atimes 
Your undiluted true love boost me up to strive and work harder in other to achieve success .
With you by my side, Our future is secured .
Love you always @diaryofqueenani
❤️ 
#LoveWithStanbicIBTC #GoForLove  #ITCanBe 
@stanbicibtc @stanbicibtc",14790.0,13867.0,13867.0,4.33,4.62,641.0,562.0,562.0,75.0,4.0
2020-10-25 08:00:00,Photo,Other,"We understand the pain you may be experiencing as a result of the losses during this time. 
We are here to help however we can, let us know how we can support you by filling the form on the link in our bio.

#ITCANBE",14361.0,13632.0,13632.0,3.33,3.51,478.0,389.0,389.0,73.0,16.0
2021-05-28 17:13:00,Photo,Kemi Amoo,"Don't leave your child's education to chance. Better to get SET now than be sorry later. Join our Twitter chat on Wednesday 09 June 2021 at 2pm, to learn all you need to about the Stanbic IBTC Education Trust.
#SET
#BlueTalks
#ITCANBE",14804.0,13626.0,13626.0,1.66,1.81,246.0,238.0,238.0,2.0,6.0
2020-08-10 16:42:00,Video,Other,"Posted @withregram • @taaooma .
.
.
With the @stanbicibtc  Super App you can open an instant account or an @ease wallet, check your pension(very important), monitor your investments and stock. Ah! Did I tell you, that you can use voice to do transactions with this app? They finish work! 

#APPyness 
#LikeAHero",15539.0,13551.0,13551.0,4.63,5.31,719.0,648.0,648.0,38.0,33.0
2021-05-30 13:00:00,Photo,Kemi Amoo,"Fraudsters are everywhere. Be careful not to share your personal information such as your BVN or banking login details with untrusted sources.  Please call 0700 909 909 909 or email CustomerCareNigeria@stanbicibtc.com for more details
#ITCANBE",14787.0,13503.0,13503.0,1.83,2.0,270.0,257.0,257.0,7.0,6.0
2021-05-29 13:44:00,Video,Other,"Reposted from @momentwithsommy Question time with somto
#icanbe
@stanbicibtc",13725.0,13306.0,13306.0,2.09,2.16,287.0,272.0,272.0,12.0,3.0
2021-05-30 07:18:00,Video,Other,"Reposted from @keenyhn06 #itcanbe @stanbicibtc 
Funny babyyyyy",13992.0,13121.0,13121.0,1.73,1.84,242.0,228.0,228.0,5.0,9.0
2021-05-29 11:18:00,Video,Other,"Reposted from @momore.16 I'm Mojolaoluwa and I'm 5 years old. I'm such a smart and funny girl...🤣🤣🤣🤣
I want a ring like my mum. I have always admired it lol
#ITCANBE
@stanbicibtc",13721.0,12930.0,12930.0,2.27,2.41,311.0,301.0,301.0,9.0,1.0
2022-07-04 12:00:00,Photo,Blessing Ubah,"The day is finally upon us!​
Join us live on Instagram at 2 pm, as new winners are rewarded.​
It could be you! 😎 
#Reward4Saving​
#ITCANBE",15033.0,12648.0,12648.0,8.28,9.84,1245.0,683.0,683.0,475.0,87.0
2022-11-08 13:05:00,Photo,Sophia Amuka,"The November offer for FGN Bonds is open! 💃
Hurry now and visit the link in our bio and click 'FGN Bonds Offer' to get started.
#ITCANBE",13694.0,12574.0,12574.0,1.75,1.9,239.0,174.0,174.0,40.0,25.0
2021-05-28 19:32:00,Video,Other,"This weekend is another opportunity to bond with your child and also WIN a gift worth N27,000. Record a video of your child answering any two questions from the video with the hashtag #ITCANBE and tag @stanbicibtc. The deadline for entries is now 30 May 2021.",13945.0,12443.0,12443.0,1.63,1.83,228.0,198.0,198.0,23.0,7.0
2021-05-29 11:24:00,Photo,Other,"The Sustainable Development Goals (SDGs) cannot be achieved without the realisation of child rights.
At Stanbic IBTC, we believe children are the future, and we are committed to support and make the world more sustainable for the younger generation. Here are some initiatives we have put in place to achieve this.

#SDG
#Childrensright
#SustainabilitySaturday",13172.0,12176.0,12176.0,1.3,1.4,171.0,160.0,160.0,7.0,4.0
2020-11-14 10:57:00,Photo,Other,"Executive Director, Personal and Business Banking, Stanbic IBTC Bank, Remy Osuagwu out here walking #Together4ALimb to raise awareness for children living with limb loss.

#VirtualT4AL2020
#ITCANBE",12576.0,12040.0,12040.0,5.48,5.72,689.0,669.0,669.0,12.0,8.0
2021-05-30 10:00:00,Photo,Kemi Amoo,"Now you don’t have any excuse not to send ‘mumsy’s’ money sharp sharp! 
You can send money to your loved ones with a simple text message! SMS HELP to 30909 or dial *909*30*909# to set up a mandate and get started.
#ITCANBE",12851.0,12029.0,12029.0,1.35,1.44,173.0,167.0,167.0,1.0,5.0
2021-05-30 07:16:00,Video,Other,"Reposted from @prettysladynextdoor Every child is amazing in their own little ways.....My son replied the question from @stanbicibtc part of it really got me laughing as a mum....God bless all our children....
Our joy, Our Future
#ITCANBE
#ChildrensDay
#StanbicBank
@stanbicibtc",12709.0,11973.0,11973.0,1.61,1.71,205.0,197.0,197.0,6.0,2.0
2021-05-29 15:10:00,Video,Other,"Reposted from @stitchesnsoles My entry for @stanbicibtc #itcanbe

Mbok I have 2 boys so they both had to go😂😂😂.

#childrensday #saturdayvibes",12221.0,11733.0,11733.0,1.8,1.88,220.0,211.0,211.0,8.0,1.0
2023-02-05 10:01:00,Video,Blessing Ubah,"How much did you get? 
Take a screenshot of how much you got, share on your stories and tag us!​
#ITCANBE​",12524.0,11599.0,11599.0,2.88,3.11,361.0,250.0,250.0,99.0,12.0
2021-05-29 16:26:00,Video,Other,"Reposted from @scottisbee Children can be so funny.
My little girl just want to be like me at all times. So so funny

@stanbicibtc #itcanbe",11938.0,11584.0,11584.0,1.71,1.76,204.0,197.0,197.0,4.0,3.0
2021-11-25 18:12:00,Photo,Blessing Ubah,"Who is securing the bag?

A, B or C?

#ITCANBE",12537.0,11535.0,11535.0,3.86,4.2,484.0,268.0,268.0,207.0,9.0
2020-10-21 16:07:00,Photo,Aramide Salami,Please stay safe.,12418.0,11419.0,11419.0,2.39,2.6,297.0,197.0,197.0,95.0,5.0
2021-05-29 14:23:00,Video,Other,"Reposted from @little_rechel Rachel's Entry.  Question Time. @stanbicibtc
#Itcanbe",11747.0,11125.0,11125.0,1.93,2.04,227.0,172.0,172.0,54.0,1.0
2020-04-12 19:56:00,Photo,Other,"Are you ready for our Easter Love giveaway?

Click on the link on our bio and fill the form attached to this post to be one of the final winners in our Easter Love double!

Tag your Geng to let them know that we are announcing 8 final winners on Easter Monday by 8pm!

#TagYourGeng
#StanbicIBTCGeng
#909FanGeng #InvestmentClubGeng #SavingsSureGeng #BookwormGeng #EasterLoveGeng",12559.0,11028.0,11028.0,6.59,7.51,828.0,545.0,545.0,269.0,14.0
2021-05-29 21:32:00,Video,Other,Reposted from @dd4star #itcanbe @stanbicibtc My baby want to buy a mansion,11472.0,11007.0,11007.0,1.46,1.53,168.0,160.0,160.0,4.0,4.0
2021-05-29 14:59:00,Video,Other,Reposted from @spicyyemy_kids_couture #itcanbe @stanbicibtc,11466.0,10895.0,10895.0,1.4,1.48,161.0,152.0,152.0,9.0,0.0
2022-06-06 09:00:00,Photo,Blessing Ubah,"Drumroll! 🥁 
The day is here. Will you be among the lucky winners?
Join the live session at 2pm to find out. 😉 
#Reward4Saving2
#ITCANBE",13452.0,10863.0,10863.0,11.45,14.18,1540.0,803.0,803.0,659.0,78.0
2022-10-06 17:42:00,Carousel,Other,"At Stanbic IBTC, we are obsessed with our customers and this is why our CE, Dr Demola Sogunle spent most of today engaging with customers at Ajose Adeogun branch. 
#CustomerServiceWeek
#ITCANBE",12902.0,10404.0,10404.0,4.6,5.71,594.0,559.0,559.0,29.0,6.0
2021-05-29 21:37:00,Video,Other,"Reposted from @chukwura_somtochukwu HALIMATU LAWAL ENTRY VIDEO @stanbicibtc
#ITCANBE",10780.0,10287.0,10287.0,1.25,1.31,135.0,132.0,132.0,0.0,3.0
2021-05-29 15:11:00,Video,Other,"Reposted from @stitchesnsoles My entry for @stanbicibtc #itcanbe

Mbok I have 2 boys so they both had to go😂😂😂.

#childrensday #saturdayvibes",10827.0,10244.0,10244.0,1.56,1.65,169.0,163.0,163.0,5.0,1.0
2021-05-30 15:14:00,Video,Other,"Reposted from @dtwins_love Children are so funny😀😀
-
#itcanbe @stanbicibtc",10821.0,10231.0,10231.0,1.57,1.66,170.0,166.0,166.0,4.0,0.0
2021-05-29 13:48:00,Video,Other,"Reposted from @chid_square2 #icanbe
@stanbicibtc",10585.0,10069.0,10069.0,1.45,1.53,154.0,150.0,150.0,3.0,1.0
2020-10-18 12:15:00,Photo,Aramide Salami,"We sincerely apologise for any inconvenience you may be experiencing now in trying to use our banking channels. The upgrade is in progress and an update will be shared once full services are restored. In the meantime, you can reach out to us by calling 0700 909 909 909 or by sending an email to CustomerCareNigeria@stanbicibtc.com for any enquiries.",11091.0,10021.0,10021.0,2.89,3.19,320.0,214.0,214.0,103.0,3.0
2021-05-29 14:09:00,Video,Other,"Reposted from @kidmodelkhaira Khaira want to be an adult so she can do anyhow 🤣🤣🤣🤣 #icanbe #ITCANBE
@stanbicibtc",10274.0,9943.0,9943.0,1.38,1.43,142.0,136.0,136.0,5.0,1.0
2023-04-03 15:00:00,Photo,Sophia Amuka,"Investing may seem complex for beginners but at Stanbic IBTC, we simplify the process. Start your journey to building wealth by investing in the April offer of the FGN Savings Bonds.
To get started, visit the link in our bio and click, ""FGN Bonds Offer"".

#Invest
#ITCANBE",10684.0,9873.0,9873.0,2.48,2.68,265.0,178.0,178.0,56.0,31.0
2021-05-29 15:04:00,Video,Other,"Reposted from @smallboycomedian #REPOST @topraise_world with @get__repost__app  Lols....son's entry
@stanbicibtc
#ITCANBE

......
Thank you @stanbicibtc
for this...
Mum""s page2 
@officialtopraise #repostandroid #repostw10",10245.0,9784.0,9784.0,1.24,1.3,127.0,120.0,120.0,7.0,0.0
2022-01-22 19:00:00,Photo,Blessing Ubah,"This Sunday, Super Eagles vs The Eagles of Carthage. What is your prediction? 
#InsurancecoversSuperEagles 
#StanbicIBTCAFCON
#GoForIt
#ITCANBE",10444.0,9781.0,9781.0,4.12,4.4,430.0,278.0,278.0,145.0,7.0
2022-04-14 18:11:00,Photo,Sophia Amuka,"Thank you for joining our webinar! 
We hope you learnt something about the importance of insurance in staying in business. 
For more enquiries on how you can get the #BestInsuranceDeals, please call 01 277 0394 or send an email to insurancesolution@stanbicibtc.com. 
You can also visit https://bit.ly/StayINBusinessWebinar to watch the webinar replay. 
#ITCANBE",10173.0,9583.0,9583.0,0.66,0.7,67.0,33.0,33.0,33.0,1.0
2020-10-18 14:31:00,Photo,Other,"Services on our banking channels are back up! 

This means it's time to get back to enjoying seamless banking experience on our channels, Mobile App, Internet Banking and *909#. 

Thank you for your patience.

#ITCANBE",10570.0,9551.0,9551.0,4.5,4.98,476.0,217.0,217.0,255.0,4.0
2020-10-19 18:14:00,Photo,Blessing Ubah,"Do you have big dreams? 
Chase them and have a good week! 

#PowerUpMonday 
#MotivationMonday
#ITCANBE",10486.0,9506.0,9506.0,3.88,4.28,407.0,259.0,259.0,144.0,4.0
2021-05-29 21:26:00,Video,Other,Reposted from @no1obi #itcanbe @stanbicibtc,9895.0,9492.0,9492.0,1.12,1.17,111.0,107.0,107.0,3.0,1.0
2023-03-15 17:30:00,Photo,Kemi Amoo,"Do you still have old Naira notes on you? Not to worry, you can deposit or withdraw them until Sunday, December 31, 2023, at any of our branches. 
#ITCANBE",10360.0,9433.0,9433.0,4.09,4.49,424.0,341.0,341.0,69.0,14.0
2022-04-15 11:13:00,Photo,Blessing Ubah,"New to investing and looking for low-risk investment option? 
Get started by investing in FGN Bonds.
All you must do is send an email to CallMe@stanbicibtc.com and our team of experts will guide you.
#ITCANBE",10494.0,9398.0,9398.0,1.93,2.16,203.0,75.0,75.0,118.0,10.0
2021-05-29 13:46:00,Video,Other,"Reposted from @loved_.kids #itcanbe 
@stanbicibtc :

 #gainwithwestandmugweru #gainwithpolasha #gaintrick #gainwithmchina #gainwithfinessengara #gainwithbandanafather #gainwithpaula #gainwiththeeben #gainwithmugweru #gain #gainwithbundi #gainwithmtaaraw #gainparty #gainwithkenyanoxygen  #gainwiththeepluto #gainwithxtiandela #gainfollowers #vscokenya #iamnairobian #madeinkenya #drip #nairobikenya #igerskenya #tumewasha #tembeakenya #publicity254 #fashionkenya #picoftheday #igkenya",9749.0,9285.0,9285.0,10.59,11.11,1032.0,1015.0,1015.0,17.0,0.0
2021-05-30 07:15:00,Video,Other,"Reposted from @taiwing20 @stanbicibtc , here comes my son entry
#itcanbe",9623.0,9268.0,9268.0,1.06,1.1,102.0,98.0,98.0,2.0,2.0
2021-02-16 19:28:00,Photo,Other,"Today we celebrate Dr. Ngozi Okonjo-Iweala for her hard work and diligence.

From one feat to another, she has written not only her name but also ours on the map of the world.

Photo credit: WTO Website

#ITCANBE

#BeLikeNgoziChallenge

#BlackHistoryMonth",9859.0,9244.0,9244.0,4.91,5.24,484.0,460.0,460.0,20.0,4.0
2021-11-20 12:10:00,Photo,Other,"Our CE, Dr. Demola Sogunle and his family walking #Together4ALimb to raise awareness for children without limbs.

#VirtualT4AL2021
#DemolaSogunle
#ITCANBE",9920.0,9228.0,9228.0,5.04,5.42,500.0,427.0,427.0,69.0,4.0
2021-05-30 11:56:00,Video,Other,"Reposted from @aya_oba_toh_fine Kids are so amazing.
Their imaginations sometimes is bigger than their body.
#ITCANBE 
#ChildrensDay @stanbicibtc",9494.0,9001.0,9001.0,1.55,1.63,147.0,139.0,139.0,7.0,1.0
2021-05-29 15:58:00,Video,Other,"As a Brand committed to serving its customers and the community at large, we decided to support entrepreneurs whose businesses were affected by the unrest following the #EndSARS protests. We asked our customers and non-customers alike for their feedback on how best we can support them in rebuilding their businesses through #LetUsRebuildTogether.  

Since then, 11 businesses have been awarded a grant of N1.5million towards rebuilding their businesses, because we believe #ITCANBE",9453.0,8898.0,8898.0,1.09,1.16,103.0,97.0,97.0,3.0,3.0
2021-05-30 21:05:00,Video,Other,"Reposted from @amaechiakano My baby girl sold me out sha 🙆♀‍🤦🤣.........

 Introducing Daniella Ijeh😊

@stanbicibtc
#stanbicibtc
#itcanbe",9467.0,8839.0,8839.0,2.65,2.84,251.0,228.0,228.0,18.0,5.0
2021-11-19 14:10:00,Video,Other,"#Repost @k8henshaw
...
Join us tomorrow morning, Saturday at 7am for the virtual warm up session before we set out to walk for a children with limb loss.🙏👍
It's for a worthy cause my lovelies. 
I look forward to ""seeing"" You all.

Link to join the session: https://primitive.bluejeans.com/a2m/register/cxyvvwbq
.
.
You can also clock in your steps on https://steps.stanbicibtc.com/home 

#VirtualT4ALimb
#Together4ALimb
#ITCANBE",9543.0,8805.0,8805.0,3.99,4.33,381.0,349.0,349.0,22.0,10.0
2020-10-20 17:32:00,Photo,Blessing Ubah,"Please stay safe!

Thank you for banking with us. 

#ITCANBE",9508.0,8805.0,8805.0,2.05,2.21,195.0,156.0,156.0,37.0,2.0
2021-05-30 16:56:00,Video,Other,"Reposted from @oto_oto111 😂😂😂

Wahala dey ooo
@stanbicibtc
.
.
#itcanbe",9195.0,8739.0,8739.0,1.13,1.19,104.0,100.0,100.0,0.0,4.0
2020-11-14 11:38:00,Photo,Other,"Head, Marketing and Communications, Stanbic IBTC, @biddy1320 walking #Together4ALimb for children living with limb loss. 

Have you started walking? 

Share your pictures using the hashtag!

#VirtualT4AL2020",9097.0,8711.0,8711.0,4.53,4.73,412.0,400.0,400.0,6.0,6.0
2022-11-04 17:06:00,Video,Blessing Ubah,"Want to take advantage of the new RSA mortgage policy?
Watch Nike Bajomo, Executive Director, Business Development, Stanbic IBTC Pension Managers, on Channels TV discussing how you can get it.
For more enquiries, send us a DM or email pensionsolution@stanbicibtc.com
#ITCANBE",8981.0,8615.0,8615.0,3.1,3.23,278.0,234.0,234.0,21.0,23.0
2021-05-29 13:55:00,Video,Other,"You are about to pay for your meal after eating and can't remember your Mobile App password ""God no go shame us 😭"".
Relax.... Just reset your password with these 7 easy steps!

#LikeAHero
#ITCANBE",8947.0,8600.0,8600.0,0.94,0.98,84.0,72.0,72.0,6.0,6.0
2022-05-25 18:15:00,Photo,Other,"Repost by @greatkingmalvin
———
THANKS @stanbicibtc FOR THIS GREAT OPPORTUNITY
MY NAME IS CHUKWUJINDU MALVIN
I AM 6YEARS OLD AND I AM IN BASIC 1
I WOULD LOVE MY STANBIC BANK DEBIT CARD TO BE LIKE THIS ❤️❤️❤️❤️

#MyDreamsCanBe
#ITCANBE",9031.0,8529.0,8529.0,2.34,2.47,211.0,179.0,179.0,28.0,4.0
2023-03-19 17:14:00,Photo,Blessing Ubah,"Which one of these did the reset magic for you? 
Share with us in the comment section.
#ITCANBE",8966.0,8468.0,8468.0,3.02,3.2,271.0,163.0,163.0,102.0,6.0
2021-10-19 12:00:00,Photo,Blessing Ubah,"Which one is it going to be?
#ITCANBE",8876.0,8428.0,8428.0,2.37,2.49,210.0,135.0,135.0,70.0,5.0
2021-05-30 14:17:00,Video,Other,"Reposted from @mhizjike My daughter entry,,,,My daughter want to become the first daughter of Nigeria @stanbicibtc #itcanbe",8875.0,8427.0,8427.0,1.12,1.17,99.0,97.0,97.0,1.0,1.0
2022-06-16 20:47:00,Photo,Aramide Salami,"We are sorry for the delays you are experiencing in receiving credit into your account. We are aware of the inconvenience this has caused, and we are working swiftly to rectify the issue. Thank you for your understanding.

#ITCANBE",9456.0,8412.0,8412.0,3.64,4.09,344.0,224.0,224.0,112.0,8.0
2021-05-30 15:19:00,Video,Other,"Reposted from @heleno11244 #ItCanBe 
@stanbicibtc",8716.0,8329.0,8329.0,2.57,2.69,224.0,153.0,153.0,70.0,1.0
2022-04-17 09:00:00,Photo,Blessing Ubah,"In the spirit of this Easter, can you guess who will get to the Cross first?
#ITCANBE",8653.0,8096.0,8096.0,2.96,3.16,256.0,159.0,159.0,92.0,5.0
2022-03-16 19:57:00,Photo,Blessing Ubah,"At the end of the day, any amount of litres would be appreciated in these times! 😆 

#ITCANBE​",8717.0,8013.0,8013.0,3.19,3.47,278.0,146.0,146.0,125.0,7.0
2020-11-28 12:40:00,Photo,Other,"For us at Stanbic IBTC, we find ways to make our customers dreams come true. 

We are pleased to announce that we have been awarded the Commercial Bank Brand of The Year by BRANDCOM Awards 2020. 

Thank you for choosing to bank with us always. 

#ITCANBE",8586.0,7999.0,7999.0,3.7,3.98,318.0,296.0,296.0,20.0,2.0
2022-04-15 14:04:00,Photo,Blessing Ubah,"Have you been running your business with the wrong marketing strategies? 🤔 
Learn about business from leaders.
Catch up on our Enterprise Banking webinar, visit this link to watch the replay: https://bit.ly/EnterpriseBankingWebinarReplay
#ITCANBE",8668.0,7988.0,7988.0,2.84,3.08,246.0,81.0,81.0,158.0,7.0
2020-11-14 10:57:00,Photo,Other,"Head , Sustainability, Stanbic IBTC  @omololafashesin walking to raise awareness for children living with limb loss. 

Share your pictures using the hashtag, #Together4ALimb.

#VirtualT4AL2020
#ITCANBE",8347.0,7957.0,7957.0,4.0,4.2,334.0,319.0,319.0,11.0,4.0
2020-01-29 21:23:00,Photo,Other,Today we celebrate an extraordinary leader. Happy birthday @yinkasanni,8212.0,7950.0,7950.0,6.7,6.92,550.0,502.0,502.0,43.0,5.0
2023-02-23 14:20:00,Photo,Sophia Amuka,"Due to the upcoming general elections, our branches will close by 1pm tomorrow. 
Our digital channels will be available for your transactions.

#ITCANBE",8811.0,7920.0,7920.0,2.61,2.9,230.0,169.0,169.0,54.0,7.0
2020-11-14 11:46:00,Photo,Other,"Wole Adeniyi, Chief Executive, Stanbic IBTC Bank walking for a worthy cause.

#Together4ALimb
#VirtualT4AL2020",8327.0,7903.0,7903.0,4.7,4.95,391.0,380.0,380.0,7.0,4.0
2023-03-07 19:00:00,Photo,Sophia Amuka,"Grow your wealth with FGN Bonds!
Subscribe to the FGN Savings Bond March offer. To get started, visit the link in our bio and click 'FGN Bond Offer'.

#Invest
#ITCANBE",8138.0,7784.0,7784.0,1.94,2.03,158.0,97.0,97.0,44.0,17.0
2022-04-15 12:00:00,Video,Sophia Amuka,"Are you looking to invest in Infrastructure based investments that could give long term returns while also allowing you to help grow the economy? ​
Then, visit the link in our bio and click 'Stanbic IBTC Infrastructure Fund' to sign up for the next offer coming soon.​

#ITCANBE​
#GoForIt​",8364.0,7736.0,7736.0,2.88,3.12,241.0,48.0,48.0,189.0,4.0
2021-09-18 10:11:00,Photo,Other,"Today, we are a success because of your loyalty and the faith YOU, our customers, have in us.
We will continue to raise the bar.
Thank you, Bature Enoch. 🤗
#ITCANBE",8510.0,7707.0,7707.0,3.91,4.32,333.0,260.0,260.0,69.0,4.0
2020-04-13 07:54:00,Photo,Other,"Meet our day 21 winners!

Please send your contact details (name, phone number and email address) via DM to claim your prize. T&Cs apply.

Look out for our final Easter Love Geng Double! 
#StanbicIBTCGeng #909FanGeng #InvestmentClubGeng #SavingsSureGeng #BookwormGeng #EasterLoveGeng",8242.0,7607.0,7607.0,4.09,4.43,337.0,274.0,274.0,60.0,3.0
2022-10-05 18:53:00,Photo,Blessing Ubah,"With an effective yield of 11.877% for two years and 12.969% for three years, the FGN Savings Bond is another way to grow your wealth!
Visit the link in our bio and click 'FGN Bonds Offer' to get started.
#ITCANBE",8237.0,7583.0,7583.0,1.8,1.95,148.0,100.0,100.0,30.0,18.0
2021-05-30 16:54:00,Video,Other,"Reposted from @nwachuks_john My entry 😊👍💙

#itcanbe

@stanbicibtc",7841.0,7524.0,7524.0,9.87,10.29,774.0,773.0,773.0,1.0,0.0
2021-05-30 15:23:00,Video,Other,Reposted from @shi2sheg1 Very funny boy. #ITCANBE @stanbicibtc,7653.0,7493.0,7493.0,1.22,1.24,93.0,87.0,87.0,6.0,0.0
2020-11-29 12:00:00,Photo,Blessing Ubah,"That’s what we are here for. 

To give all the support you need to make your dreams possible.

Thank you @esesundayeze 💙

#ITCANBE",7850.0,7491.0,7491.0,5.21,5.46,409.0,331.0,331.0,67.0,11.0
2021-05-30 20:07:00,Video,Other,Reposted from @divineshare #itcanbe @stanbicibtc,8019.0,7426.0,7426.0,2.54,2.75,204.0,181.0,181.0,19.0,4.0
